HKG, SIN, SEA, NRT, KIX

3232235777
128.0.0.0
1745879040 1048576
104.16.90.64 	 colo=HKG
104.16.81.192 	 colo=HKG
104.16.93.128 	 colo=HKG
104.16.92.128 	 colo=HKG
104.16.94.0 	 colo=HKG
104.16.95.0 	 colo=HKG
104.16.94.64 	 colo=HKG
104.16.94.192 	 colo=HKG
104.16.95.64 	 colo=HKG
104.16.95.128 	 colo=HKG
104.16.91.64 	 colo=HKG
104.16.92.64 	 colo=HKG
104.16.73.128 	 colo=HKG
104.16.93.0 	 colo=HKG
104.16.85.128 	 colo=HKG
104.16.96.128 	 colo=HKG
104.16.96.192 	 colo=HKG
104.16.67.64 	 
104.16.87.128 	 colo=HKG
104.16.96.64 	 colo=HKG
104.16.97.0 	 colo=HKG
104.16.97.64 	 colo=HKG
104.16.93.192 	 colo=HKG
104.16.98.128 	 colo=HKG
104.16.97.128 	 colo=HKG
104.16.76.0 	 colo=HKG
104.16.100.0 	 colo=HKG
104.16.99.192 	 colo=HKG
104.16.96.0 	 colo=HKG
104.16.99.64 	 colo=HKG
104.16.100.128 	 colo=HKG
104.16.70.128 	 
104.16.92.0 	 colo=HKG
104.16.85.64 	 colo=HKG
104.16.100.192 	 colo=HKG
104.16.101.64 	 colo=HKG
104.16.83.0 	 colo=HKG
104.16.86.0 	 colo=HKG
104.16.72.128 	 
104.16.99.0 	 colo=HKG
104.16.102.192 	 colo=HKG
104.16.103.128 	 colo=HKG
104.16.74.128 	 
104.16.75.192 	 
104.16.104.0 	 colo=HKG
104.16.101.128 	 colo=HKG
104.16.104.128 	 colo=HKG
104.16.103.64 	 colo=HKG
104.16.103.192 	 colo=HKG
104.16.104.192 	 colo=HKG
104.16.77.128 	 
104.16.105.128 	 colo=HKG
104.16.97.192 	 colo=HKG
104.16.105.64 	 colo=HKG
104.16.79.64 	 
104.16.105.192 	 colo=HKG
104.16.106.128 	 colo=HKG
104.16.99.128 	 colo=HKG
104.16.107.64 	 colo=HKG
104.16.106.64 	 colo=HKG
104.16.107.128 	 colo=HKG
104.16.107.192 	 colo=HKG
104.16.83.64 	 
104.16.108.192 	 colo=HKG
104.16.83.192 	 
104.16.106.192 	 colo=HKG
104.16.109.192 	 colo=HKG
104.16.102.0 	 colo=HKG
104.16.86.128 	 
104.16.87.0 	 
104.16.102.128 	 colo=HKG
104.16.111.64 	 colo=HKG
104.16.103.0 	 colo=HKG
104.16.88.0 	 
104.16.88.64 	 
104.16.111.128 	 colo=HKG
104.16.108.0 	 colo=HKG
104.16.104.64 	 colo=HKG
104.16.111.192 	 colo=HKG
104.16.113.0 	 colo=HKG
104.16.113.64 	 colo=HKG
104.16.112.128 	 colo=HKG
104.16.112.0 	 colo=HKG
104.16.113.192 	 colo=HKG
104.16.108.64 	 colo=HKG
104.16.113.128 	 colo=HKG
104.16.91.128 	 
104.16.115.64 	 colo=HKG
104.16.112.64 	 colo=HKG
104.16.115.0 	 colo=HKG
104.16.93.64 	 
104.16.81.64 	 
104.16.115.192 	 colo=HKG
104.16.116.0 	 colo=HKG
104.16.94.128 	 
104.16.116.64 	 colo=HKG
104.16.117.64 	 colo=HKG
104.16.110.64 	 colo=HKG
104.16.115.128 	 colo=HKG
104.16.110.0 	 colo=HKG
104.16.112.192 	 colo=HKG
104.16.110.192 	 colo=HKG
104.16.118.64 	 colo=HKG
104.16.95.192 	 
104.16.117.0 	 colo=HKG
104.16.111.0 	 colo=HKG
104.16.119.192 	 colo=HKG
104.16.116.128 	 colo=HKG
104.16.118.0 	 colo=HKG
104.16.98.0 	 
104.16.98.64 	 
104.16.98.192 	 
104.16.120.192 	 colo=HKG
104.16.120.0 	 colo=HKG
104.16.114.64 	 colo=HKG
104.16.121.0 	 colo=HKG
104.16.122.0 	 colo=HKG
104.16.116.192 	 colo=HKG
104.16.100.64 	 
104.16.122.192 	 colo=HKG
104.16.121.128 	 colo=HKG
104.16.114.0 	 colo=HKG
104.16.122.64 	 colo=HKG
104.16.101.0 	 
104.16.123.64 	 colo=HKG
104.16.114.192 	 colo=HKG
104.16.123.128 	 colo=HKG
104.16.125.0 	 colo=HKG
104.16.101.192 	 
104.16.124.64 	 colo=HKG
104.16.119.128 	 colo=HKG
104.16.109.64 	 colo=HKG
104.16.125.128 	 colo=HKG
104.16.124.192 	 colo=HKG
104.16.126.128 	 colo=HKG
104.16.108.128 	 colo=HKG
104.16.126.192 	 colo=HKG
104.16.127.128 	 colo=HKG
104.16.124.0 	 colo=HKG
104.16.127.192 	 colo=HKG
104.16.117.192 	 colo=HKG
104.16.117.128 	 colo=HKG
