SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.63.192 	 colo=SJC
172.64.64.192 	 colo=SJC
172.64.65.0 	 colo=SJC
172.64.64.0 	 colo=LAX
172.64.64.64 	 colo=SJC
172.64.65.128 	 colo=SJC
172.64.65.64 	 colo=SJC
172.64.66.0 	 colo=SJC
172.64.65.192 	 colo=SJC
172.64.66.192 	 colo=SJC
172.64.67.0 	 colo=SJC
172.64.66.64 	 colo=LAX
172.64.66.128 	 colo=LAX
172.64.67.64 	 colo=LAX
172.64.67.128 	 colo=LAX
172.64.67.192 	 colo=LAX
172.64.57.64 	 colo=SJC
172.64.68.128 	 colo=SJC
172.64.68.64 	 colo=LAX
172.64.68.0 	 colo=SJC
172.64.69.0 	 colo=SJC
172.64.69.64 	 colo=LAX
172.64.69.128 	 colo=LAX
172.64.70.0 	 colo=SJC
172.64.70.128 	 colo=LAX
172.64.70.64 	 colo=LAX
172.64.70.192 	 colo=LAX
172.64.69.192 	 colo=LAX
172.64.71.0 	 colo=LAX
172.64.72.0 	 colo=SJC
172.64.71.128 	 colo=SJC
172.64.71.64 	 colo=LAX
172.64.71.192 	 colo=LAX
172.64.72.192 	 colo=LAX
172.64.73.64 	 colo=LAX
172.64.72.128 	 colo=LAX
172.64.73.192 	 colo=SJC
172.64.73.128 	 colo=SJC
172.64.74.128 	 colo=SJC
172.64.72.64 	 colo=LAX
172.64.74.64 	 colo=LAX
172.64.73.0 	 colo=LAX
172.64.74.0 	 colo=SJC
172.64.75.0 	 colo=SJC
172.64.44.128 	 
172.64.75.128 	 colo=LAX
172.64.75.64 	 colo=LAX
172.64.76.64 	 colo=LAX
172.64.74.192 	 colo=LAX
172.64.76.128 	 colo=LAX
172.64.75.192 	 colo=SJC
172.64.76.0 	 colo=SJC
172.64.77.64 	 colo=SJC
172.64.76.192 	 colo=LAX
172.64.77.0 	 colo=LAX
172.64.77.192 	 colo=SJC
172.64.77.128 	 colo=LAX
172.64.78.0 	 colo=SJC
172.64.78.64 	 colo=SJC
172.64.78.128 	 colo=SJC
172.64.79.64 	 colo=LAX
172.64.79.0 	 colo=SJC
172.64.78.192 	 colo=SJC
172.64.79.128 	 colo=SJC
172.64.79.192 	 colo=LAX
172.64.68.192 	 
172.64.80.0 	 
172.64.80.64 	 
172.64.80.128 	 
172.64.80.192 	 
172.64.81.0 	 
172.64.81.64 	 
172.64.81.128 	 
172.64.81.192 	 
172.64.82.0 	 
172.64.82.64 	 
172.64.82.128 	 
172.64.82.192 	 
172.64.83.0 	 
172.64.83.64 	 
172.64.83.128 	 
172.64.83.192 	 
172.64.84.0 	 
172.64.84.64 	 
172.64.84.128 	 
172.64.84.192 	 
172.64.85.0 	 
172.64.85.64 	 
172.64.85.128 	 
172.64.85.192 	 
172.64.86.0 	 
172.64.86.64 	 
172.64.86.128 	 
172.64.86.192 	 
172.64.87.0 	 
172.64.87.64 	 
172.64.87.128 	 
172.64.87.192 	 
172.64.88.0 	 
172.64.88.64 	 
172.64.88.128 	 
172.64.88.192 	 
172.64.89.0 	 
172.64.89.64 	 
172.64.89.128 	 
172.64.89.192 	 
172.64.90.0 	 
172.64.90.64 	 
172.64.90.128 	 
172.64.90.192 	 
172.64.91.0 	 
172.64.91.64 	 
172.64.91.128 	 
172.64.91.192 	 
172.64.92.0 	 
172.64.92.64 	 
172.64.92.128 	 
172.64.92.192 	 
172.64.93.0 	 
172.64.93.64 	 
172.64.93.128 	 
172.64.93.192 	 
172.64.94.0 	 
172.64.94.64 	 
172.64.94.128 	 
172.64.94.192 	 
172.64.95.0 	 
172.64.95.64 	 
172.64.96.192 	 colo=SJC
172.64.95.128 	 
172.64.96.0 	 colo=SJC
172.64.97.0 	 colo=SJC
172.64.96.64 	 colo=SJC
172.64.97.192 	 colo=LAX
172.64.97.64 	 colo=SJC
172.64.96.128 	 colo=SJC
172.64.98.0 	 colo=SJC
172.64.97.128 	 colo=LAX
172.64.98.64 	 colo=LAX
172.64.98.192 	 colo=SJC
172.64.98.128 	 colo=SJC
172.64.99.64 	 colo=LAX
172.64.99.192 	 colo=LAX
172.64.100.64 	 colo=LAX
172.64.100.0 	 colo=LAX
172.64.95.192 	 
172.64.101.0 	 colo=LAX
172.64.100.128 	 colo=LAX
172.64.99.128 	 colo=SJC
172.64.99.0 	 colo=LAX
172.64.100.192 	 colo=SJC
172.64.101.64 	 colo=SJC
172.64.101.128 	 colo=SJC
172.64.101.192 	 colo=SJC
172.64.102.0 	 colo=SJC
172.64.102.64 	 colo=LAX
172.64.102.128 	 colo=SJC
172.64.102.192 	 colo=SJC
172.64.103.0 	 colo=SJC
172.64.103.64 	 colo=SJC
172.64.103.128 	 colo=LAX
172.64.103.192 	 colo=LAX
172.64.104.0 	 colo=LAX
172.64.104.64 	 colo=SJC
172.64.104.128 	 colo=SJC
172.64.105.0 	 colo=LAX
172.64.105.128 	 colo=LAX
172.64.105.64 	 colo=LAX
172.64.105.192 	 colo=SJC
172.64.106.0 	 colo=SJC
172.64.106.192 	 colo=LAX
172.64.106.128 	 colo=SJC
172.64.104.192 	 colo=SJC
172.64.107.0 	 colo=LAX
172.64.106.64 	 colo=LAX
172.64.107.128 	 colo=SJC
172.64.107.64 	 colo=LAX
172.64.109.64 	 colo=SJC
172.64.107.192 	 colo=LAX
172.64.108.128 	 colo=SJC
172.64.108.0 	 colo=SJC
172.64.109.0 	 colo=LAX
172.64.109.128 	 colo=LAX
172.64.108.64 	 colo=LAX
172.64.108.192 	 colo=SJC
172.64.110.128 	 colo=LAX
172.64.111.64 	 colo=SJC
172.64.110.192 	 colo=SJC
172.64.111.192 	 colo=SJC
172.64.111.128 	 colo=SJC
172.64.109.192 	 colo=LAX
172.64.110.64 	 colo=SJC
172.64.110.0 	 colo=LAX
